date,product,segment,region,channel,sales
2025-07-06,Product_A,Consumer,East,Direct,408.31
2025-07-06,Product_D,Consumer,West,Direct,529.46
2025-07-06,Product_D,Consumer,West,Online,824.95
2025-07-06,Product_D,Consumer,East,Online,284.19
2025-07-06,Product_C,Home_Office,South,Direct,259.64
2025-07-06,Product_C,Home_Office,South,Retail,583.37
2025-07-06,Product_C,Home_Office,North,Retail,446.86
2025-07-06,Product_C,Home_Office,West,Direct,662.68
2025-07-06,Product_C,Home_Office,West,Retail,507.75
2025-07-06,Product_C,Home_Office,West,Online,479.43
2025-07-06,Product_C,Home_Office,East,Retail,580.54
2025-07-06,Product_D,Consumer,North,Online,693.01
2025-07-06,Product_C,Home_Office,East,Online,643.22
2025-07-06,Product_C,Corporate,South,Retail,692.53
2025-07-06,Product_C,Corporate,South,Online,419.35
2025-07-06,Product_C,Corporate,North,Retail,884.28
2025-07-06,Product_C,Corporate,North,Online,528.09
2025-07-06,Product_C,Corporate,West,Direct,741.15
2025-07-06,Product_C,Corporate,West,Retail,1005.48
2025-07-06,Product_C,Corporate,East,Retail,317.78
2025-07-06,Product_C,Corporate,East,Online,834.7
2025-07-06,Product_C,Consumer,South,Retail,374.11
2025-07-06,Product_C,Consumer,North,Direct,671.52
2025-07-06,Product_C,Corporate,South,Direct,494.58
2025-07-06,Product_C,Consumer,North,Retail,802.65
2025-07-06,Product_D,Consumer,North,Retail,549.63
2025-07-06,Product_D,Consumer,South,Online,646.74
2025-07-06,Product_D,Home_Office,South,Direct,333.22
2025-07-06,Product_D,Home_Office,South,Retail,118.78
2025-07-06,Product_D,Home_Office,North,Direct,159.45
2025-07-06,Product_D,Home_Office,North,Retail,293.9
2025-07-06,Product_D,Home_Office,West,Direct,244.72
2025-07-06,Product_D,Home_Office,West,Retail,333.84
2025-07-06,Product_D,Home_Office,West,Online,192.93
2025-07-06,Product_D,Home_Office,East,Direct,189.98
2025-07-06,Product_D,Home_Office,East,Retail,271.94
2025-07-06,Product_D,Home_Office,East,Online,379.56
2025-07-06,Product_D,Consumer,North,Direct,485.4
2025-07-06,Product_D,Corporate,South,Retail,227.89
2025-07-06,Product_D,Corporate,North,Direct,285.19
2025-07-06,Product_D,Corporate,North,Retail,462.66
2025-07-06,Product_D,Corporate,North,Online,426.68
2025-07-06,Product_D,Corporate,West,Direct,260.98
2025-07-06,Product_D,Corporate,West,Retail,317.26
2025-07-06,Product_D,Corporate,West,Online,636.26
2025-07-06,Product_D,Corporate,East,Direct,451.3
2025-07-06,Product_D,Corporate,East,Retail,611.51
2025-07-06,Product_D,Consumer,South,Direct,340.21
2025-07-06,Product_D,Consumer,South,Retail,380.52
2025-07-06,Product_D,Corporate,South,Online,681.21
2025-07-06,Product_C,Consumer,North,Online,886.79
2025-07-06,Product_D,Consumer,East,Retail,177.22
2025-07-06,Product_C,Consumer,West,Online,575.1
2025-07-06,Product_B,Consumer,West,Direct,351.68
2025-07-06,Product_B,Consumer,West,Retail,459.96
2025-07-06,Product_B,Consumer,East,Retail,591.77
2025-07-06,Product_A,Home_Office,North,Online,939.13
2025-07-06,Product_A,Home_Office,West,Direct,480.98
2025-07-06,Product_A,Home_Office,West,Retail,814.55
2025-07-06,Product_A,Home_Office,East,Direct,356.88
2025-07-06,Product_A,Corporate,South,Direct,1017.22
2025-07-06,Product_A,Corporate,South,Retail,727.47
2025-07-06,Product_A,Corporate,South,Online,1131.57
2025-07-06,Product_A,Corporate,North,Direct,802.81
2025-07-06,Product_A,Corporate,West,Retail,1501.05
2025-07-06,Product_A,Corporate,West,Online,1339.65
2025-07-06,Product_A,Corporate,East,Retail,881.68
2025-07-06,Product_A,Corporate,East,Online,1370.9
2025-07-06,Product_A,Consumer,South,Direct,339.9
2025-07-06,Product_A,Consumer,South,Retail,879.61
2025-07-06,Product_A,Consumer,South,Online,1184.76
2025-07-06,Product_A,Consumer,North,Direct,974.11
